Trial,Strategy,PF,WR,Sharpe,Score,Params
91,CAPITULATION,50.74,81.67,0.478,158.865,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0262918904297305, 'b_upper': 0.9637300288731624, 'b_trigger_l': 0.12391413618367655, 'b_trigger_s': 0.8759699416919934, 'vol_mult': 2.706659021800889, 'atr_mult': 2.583896936201762, 'sl_atr': 2.9, 'tp_atr': 3.2, 'max_bars_hold': 61}"
92,CAPITULATION,50.84,81.67,0.565,159.252,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.027003489997489687, 'b_upper': 0.966428395742181, 'b_trigger_l': 0.12527927202470188, 'b_trigger_s': 0.873931830686891, 'vol_mult': 2.7027803602936546, 'atr_mult': 2.580201248848707, 'sl_atr': 2.8, 'tp_atr': 3.5, 'max_bars_hold': 62}"
93,CAPITULATION,26.66,70.13,0.704,85.697,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.02643073915588895, 'b_upper': 0.9647143074889409, 'b_trigger_l': 0.11470983406991506, 'b_trigger_s': 0.8756808072295214, 'vol_mult': 1.8640085967091298, 'atr_mult': 2.6860185103566865, 'sl_atr': 3.0, 'tp_atr': 3.8, 'max_bars_hold': 70}"
94,CAPITULATION,27.55,76.14,0.377,88.641,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.026375600950725893, 'b_upper': 0.9481870483212803, 'b_trigger_l': 0.10275672699326278, 'b_trigger_s': 0.877606609646088, 'vol_mult': 2.718353793095237, 'atr_mult': 2.547036539596936, 'sl_atr': 2.9, 'tp_atr': 3.4, 'max_bars_hold': 58}"
95,CAPITULATION,51.32,83.75,0.489,160.824,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.020117698842762863, 'b_upper': 0.9833948038091826, 'b_trigger_l': 0.1257714171229873, 'b_trigger_s': 0.8685369948948974, 'vol_mult': 2.582904035899414, 'atr_mult': 2.6026207086625894, 'sl_atr': 3.3, 'tp_atr': 3.3, 'max_bars_hold': 63}"
96,CAPITULATION,1.36,59.13,1.074,9.067,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.02102248182128004, 'b_upper': 0.9854035531391986, 'b_trigger_l': 0.12536463749953283, 'b_trigger_s': 0.8509047316949095, 'vol_mult': 2.857844776626548, 'atr_mult': 1.5518043586793522, 'sl_atr': 3.7, 'tp_atr': 3.5, 'max_bars_hold': 62}"
100,CAPITULATION,51.16,83.75,0.378,160.233,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.020174103920798433, 'b_upper': 0.9581951493461072, 'b_trigger_l': 0.13023174198347404, 'b_trigger_s': 0.8675972932056584, 'vol_mult': 2.6187460741058612, 'atr_mult': 2.63292934762446, 'sl_atr': 2.4, 'tp_atr': 7.6, 'max_bars_hold': 59}"
101,CAPITULATION,51.52,83.75,0.79,161.725,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.020161159416742704, 'b_upper': 0.956932833251675, 'b_trigger_l': 0.13112908537960724, 'b_trigger_s': 0.8669956354038495, 'vol_mult': 2.431080227142004, 'atr_mult': 2.605958407229497, 'sl_atr': 2.4, 'tp_atr': 3.7, 'max_bars_hold': 69}"
102,CAPITULATION,51.55,83.75,0.634,161.659,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.019903892929974187, 'b_upper': 0.9558874622685943, 'b_trigger_l': 0.13510408713912175, 'b_trigger_s': 0.8620457288836939, 'vol_mult': 2.4535625120293947, 'atr_mult': 2.6266539027246254, 'sl_atr': 2.5, 'tp_atr': 4.7, 'max_bars_hold': 68}"
103,CAPITULATION,30.2,75.0,0.737,96.837,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.019646650909417387, 'b_upper': 0.954337748452585, 'b_trigger_l': 0.13163503715722663, 'b_trigger_s': 0.8598024541958201, 'vol_mult': 2.302317007754286, 'atr_mult': 2.6612494014346137, 'sl_atr': 2.4, 'tp_atr': 7.8, 'max_bars_hold': 71}"
